undirected weighted
1 2 95
1 3 26
1 4 34
1 5 53
2 6 37
2 7 22
2 8 62
2 9 77
3 10 0
3 11 99
3 12 31
3 13 35
4 14 18
4 15 21
4 16 52
4 17 72
5 18 74
5 19 19
5 20 42
5 21 15
6 22 62
6 23 2
6 24 26
6 25 66
7 26 15
7 27 10
7 28 94
7 29 83
8 30 97
8 31 71
8 32 38
8 33 75
9 34 32
9 35 78
9 36 48
9 37 9
10 38 6
10 39 0
10 40 84
10 41 53
11 42 55
11 43 47
11 44 88
11 45 36
12 46 38
12 47 20
12 48 2
12 49 55
13 50 88
13 51 55
13 52 13
13 53 29
14 54 79
14 55 25
14 56 1
14 57 9
15 58 45
15 59 95
15 60 66
15 61 38
16 62 18
16 63 47
16 64 69
16 65 66
17 66 39
17 67 81
17 68 91
17 69 80
18 70 61
18 71 67
18 72 7
18 73 65
19 74 10
19 75 61
19 76 75
19 77 65
20 78 86
20 79 22
20 80 16
20 81 59
21 82 59
21 83 60
21 84 41
21 85 83
22 86 86
22 87 14
22 88 45
22 89 8
23 90 37
23 91 58
23 92 92
23 93 66
24 94 26
24 95 59
24 96 15
24 97 37
25 98 98
25 99 88
25 100 74
25 101 71
26 102 100
26 103 11
26 104 58
26 105 3
27 106 69
27 107 71
27 108 99
27 109 84
28 110 44
28 111 20
28 112 43
28 113 77
29 114 69
29 115 58
29 116 84
29 117 55
30 118 43
30 119 100
30 120 92
30 121 24
31 122 84
31 123 69
31 124 13
31 125 14
32 126 88
32 127 29
32 128 84
32 129 36
33 130 72
33 131 24
33 132 4
33 133 92
34 134 90
34 135 93
34 136 69
34 137 7
35 138 83
35 139 80
35 140 13
35 141 87
36 142 88
36 143 62
36 144 3
36 145 60
37 146 56
37 147 57
37 148 55
37 149 11
38 150 94
38 151 55
38 152 19
38 153 35
39 154 88
39 155 79
39 156 52
39 157 11
40 158 67
40 159 19
40 160 20
40 161 96
41 162 3
41 163 5
41 164 72
41 165 95
42 166 62
42 167 26
42 168 24
42 169 78
43 170 92
43 171 50
43 172 30
43 173 30
44 174 0
44 175 69
44 176 60
44 177 30
45 178 43
45 179 28
45 180 69
45 181 54
46 182 36
46 183 46
46 184 28
46 185 40
47 186 83
47 187 33
47 188 27
47 189 46
48 190 69
48 191 0
48 192 82
48 193 34
49 194 31
49 195 13
49 196 9
49 197 47
50 198 65
50 199 45
50 200 1
50 201 88
51 202 92
51 203 60
51 204 18
51 205 59
52 206 72
52 207 34
52 208 6
52 209 38
53 210 2
53 211 27
53 212 10
53 213 81
54 214 50
54 215 36
54 216 28
54 217 24
55 218 40
55 219 57
55 220 1
55 221 26
56 222 28
56 223 63
56 224 9
56 225 60
57 226 56
57 227 24
57 228 6
57 229 31
58 230 60
58 231 49
58 232 73
58 233 33
59 234 17
59 235 16
59 236 76
59 237 5
60 238 33
60 239 96
60 240 2
60 241 45
61 242 97
61 243 45
61 244 91
61 245 10
62 246 94
62 247 54
62 248 83
62 249 58
63 250 8
63 251 38
63 252 54
63 253 4
64 254 62
64 255 1
64 256 17
64 257 20
65 258 74
65 259 61
65 260 42
65 261 40
66 262 64
66 263 35
66 264 13
66 265 74
67 266 8
67 267 85
67 268 33
67 269 34
68 270 4
68 271 31
68 272 41
68 273 9
69 274 7
69 275 53
69 276 12
69 277 41
70 278 76
70 279 30
70 280 89
70 281 70
71 282 39
71 283 24
71 284 81
71 285 3
72 286 67
72 287 48
72 288 82
72 289 3
73 290 25
73 291 32
73 292 85
73 293 92
74 294 55
74 295 43
74 296 76
74 297 93
75 298 4
75 299 70
75 300 42
75 301 67
76 302 11
76 303 49
76 304 54
76 305 11
77 306 47
77 307 6
77 308 100
77 309 9
78 310 0
78 311 2
78 312 8
78 313 62
79 314 42
79 315 32
79 316 59
79 317 23
80 318 46
80 319 68
80 320 92
80 321 71
81 322 54
81 323 90
81 324 53
81 325 64
82 326 99
82 327 16
82 328 53
82 329 93
83 330 10
83 331 66
83 332 22
83 333 60
84 334 78
84 335 36
84 336 49
84 337 54
85 338 79
85 339 22
85 340 86
85 341 5
86 342 0
86 343 76
86 344 63
86 345 1
87 346 18
87 347 89
87 348 38
87 349 29
88 350 23
88 351 20
88 352 77
88 353 76
89 354 1
89 355 85
89 356 62
89 357 15
90 358 59
90 359 2
90 360 97
90 361 41
91 362 44
91 363 37
91 364 3
91 365 85
92 366 81
92 367 36
92 368 4
92 369 29
93 370 37
93 371 51
93 372 1
93 373 69
94 374 67
94 375 54
94 376 31
94 377 81
95 378 57
95 379 16
95 380 66
95 381 38
96 382 30
96 383 60
96 384 96
96 385 91
97 386 73
97 387 86
97 388 87
97 389 73
98 390 39
98 391 85
98 392 77
98 393 52
99 394 87
99 395 2
99 396 75
99 397 76
100 398 42
100 399 21
100 400 85
100 401 85
101 402 44
101 403 0
101 404 57
101 405 87
102 406 75
102 407 65
102 408 77
102 409 3
103 410 19
103 411 25
103 412 53
103 413 20
104 414 90
104 415 39
104 416 10
104 417 29
105 418 73
105 419 23
105 420 100
105 421 79
106 422 58
106 423 80
106 424 25
106 425 88
107 426 54
107 427 41
107 428 19
107 429 71
108 430 33
108 431 92
108 432 13
108 433 6
109 434 13
109 435 52
109 436 79
109 437 6
110 438 14
110 439 88
110 440 44
110 441 91
111 442 49
111 443 85
111 444 48
111 445 50
112 446 71
112 447 82
112 448 66
112 449 54
113 450 41
113 451 91
113 452 55
113 453 17
114 454 85
114 455 6
114 456 8
114 457 38
115 458 78
115 459 93
115 460 84
115 461 25
116 462 34
116 463 95
116 464 94
116 465 65
117 466 25
117 467 28
117 468 84
117 469 74
118 470 49
118 471 63
118 472 56
118 473 27
119 474 13
119 475 94
119 476 14
119 477 37
120 478 36
120 479 91
120 480 58
120 481 12
121 482 97
121 483 11
121 484 81
121 485 31
122 486 96
122 487 73
122 488 10
122 489 4
123 490 16
123 491 28
123 492 49
123 493 57
124 494 11
124 495 72
124 496 29
124 497 37
125 498 57
125 499 88
125 500 44
125 501 19
126 502 54
126 503 58
126 504 89
126 505 65
127 506 79
127 507 9
127 508 25
127 509 60
128 510 83
128 511 18
128 512 71
128 513 60
129 514 87
129 515 6
129 516 64
129 517 26
130 518 0
130 519 20
130 520 95
130 521 23
131 522 57
131 523 69
131 524 80
131 525 12
132 526 2
132 527 3
132 528 59
132 529 3
133 530 31
133 531 50
133 532 52
133 533 71
134 534 89
134 535 29
134 536 84
134 537 20
135 538 94
135 539 17
135 540 10
135 541 75
136 542 54
136 543 38
136 544 50
136 545 98
137 546 83
137 547 25
137 548 88
137 549 88
138 550 96
138 551 95
138 552 39
138 553 51
139 554 32
139 555 24
139 556 25
139 557 29
140 558 32
140 559 53
140 560 4
140 561 69
141 562 32
141 563 77
141 564 91
141 565 10
142 566 93
142 567 42
142 568 93
142 569 53
143 570 76
143 571 75
143 572 76
143 573 34
144 574 90
144 575 54
144 576 10
144 577 98
145 578 24
145 579 99
145 580 92
145 581 75
146 582 17
146 583 80
146 584 4
146 585 7
147 586 40
147 587 32
147 588 40
147 589 37
148 590 67
148 591 62
148 592 82
148 593 45
149 594 25
149 595 88
149 596 26
149 597 31
150 598 28
150 599 71
150 600 80
150 601 34
151 602 65
151 603 22
151 604 47
151 605 66
152 606 24
152 607 85
152 608 5
152 609 4
153 610 6
153 611 90
153 612 47
153 613 7
154 614 11
154 615 52
154 616 42
154 617 92
155 618 44
155 619 92
155 620 6
155 621 73
156 622 9
156 623 26
156 624 81
156 625 77
157 626 15
157 627 52
157 628 20
157 629 82
158 630 54
158 631 9
158 632 23
158 633 41
159 634 20
159 635 64
159 636 88
159 637 37
160 638 14
160 639 23
160 640 41
160 641 84
161 642 67
161 643 42
161 644 10
161 645 16
162 646 53
162 647 73
162 648 95
162 649 75
163 650 67
163 651 35
163 652 47
163 653 49
164 654 8
164 655 8
164 656 48
